sample_id,split,target,group_hash,source_stems,representative,image,mask
e01467605138c0e6,train,1,e01467605138c0e66d0ae0a0917778536c83b7ba432174153d9b56d4018c7bf7,caries_0_8981,caries_0_8981,C:\Users\16024\Desktop\齿镜\calculus-unetpp\data\processed\images\train\e01467605138c0e6.jpg,C:\Users\16024\Desktop\齿镜\calculus-unetpp\data\processed\masks\train\e01467605138c0e6.png
c73cb182bda1f343,train,1,c73cb182bda1f343365cde9f7e456d0103b81b2cf5b01a95955e72431b8e70dc,caries_0_1227,caries_0_1227,C:\Users\16024\Desktop\齿镜\calculus-unetpp\data\processed\images\train\c73cb182bda1f343.jpg,C:\Users\16024\Desktop\齿镜\calculus-unetpp\data\processed\masks\train\c73cb182bda1f343.png
e81e8245d312a13c,train,1,e81e8245d312a13c9fce3c1b631d150516ef2fb9b8959579c341c3dc66102b6c,caries_0_194,caries_0_194,C:\Users\16024\Desktop\齿镜\calculus-unetpp\data\processed\images\train\e81e8245d312a13c.jpg,C:\Users\16024\Desktop\齿镜\calculus-unetpp\data\processed\masks\train\e81e8245d312a13c.png
9500f422a8bf664e,train,1,9500f422a8bf664e8e08ee54ca4b0aa188b532331c94d92e3610b74b21f156ee,(116);(133);(60);(7);(89),(116),C:\Users\16024\Desktop\齿镜\calculus-unetpp\data\processed\images\train\9500f422a8bf664e.jpg,C:\Users\16024\Desktop\齿镜\calculus-unetpp\data\processed\masks\train\9500f422a8bf664e.png
2d73bdd55d934ebd,train,1,2d73bdd55d934ebdd68b5c26c522eb6a1ccf56cbcdfbad3878b093bfe46c7bd6,caries_0_1970,caries_0_1970,C:\Users\16024\Desktop\齿镜\calculus-unetpp\data\processed\images\train\2d73bdd55d934ebd.jpg,C:\Users\16024\Desktop\齿镜\calculus-unetpp\data\processed\masks\train\2d73bdd55d934ebd.png
3b2384c79cdb4583,train,1,3b2384c79cdb4583a1d01f953239516da11fd1cd926fb4631425b3fe01adf109,(1066);(1100);(1126);(1145),(1066),C:\Users\16024\Desktop\齿镜\calculus-unetpp\data\processed\images\train\3b2384c79cdb4583.jpg,C:\Users\16024\Desktop\齿镜\calculus-unetpp\data\processed\masks\train\3b2384c79cdb4583.png
fa42b85d4ea75107,train,1,fa42b85d4ea7510798119097e1278fc0e8d2edb2933bec3f21e13b9a640ea0ff,(590);(653),(590),C:\Users\16024\Desktop\齿镜\calculus-unetpp\data\processed\images\train\fa42b85d4ea75107.jpg,C:\Users\16024\Desktop\齿镜\calculus-unetpp\data\processed\masks\train\fa42b85d4ea75107.png
dc80be05ef9951a0,train,1,dc80be05ef9951a0688ed5416f60d61a074df122c81d76e94ac3ee48fac1561c,(1175),(1175),C:\Users\16024\Desktop\齿镜\calculus-unetpp\data\processed\images\train\dc80be05ef9951a0.jpg,C:\Users\16024\Desktop\齿镜\calculus-unetpp\data\processed\masks\train\dc80be05ef9951a0.png
349b09e041cc610b,train,1,349b09e041cc610b1d4dbf5438362f13560df5a87c0f68eb474756a9d8ad9fc7,(169),(169),C:\Users\16024\Desktop\齿镜\calculus-unetpp\data\processed\images\train\349b09e041cc610b.jpg,C:\Users\16024\Desktop\齿镜\calculus-unetpp\data\processed\masks\train\349b09e041cc610b.png
a1345f06babdc389,train,1,a1345f06babdc389627ab923abfbc5568e82105804b736c73efb9482dd5a7427,(909),(909),C:\Users\16024\Desktop\齿镜\calculus-unetpp\data\processed\images\train\a1345f06babdc389.jpg,C:\Users\16024\Desktop\齿镜\calculus-unetpp\data\processed\masks\train\a1345f06babdc389.png
2e39320844f32d7c,train,1,2e39320844f32d7cb498b8fd0c9610aa180cc1f740dc4f4b95a59e36179efe6c,caries_0_2102,caries_0_2102,C:\Users\16024\Desktop\齿镜\calculus-unetpp\data\processed\images\train\2e39320844f32d7c.jpg,C:\Users\16024\Desktop\齿镜\calculus-unetpp\data\processed\masks\train\2e39320844f32d7c.png
59cd4e17aa397f35,train,1,59cd4e17aa397f351bbcea2015d61280b955078e14bbd0dd201ce3d97b3c35fc,caries_0_7353,caries_0_7353,C:\Users\16024\Desktop\齿镜\calculus-unetpp\data\processed\images\train\59cd4e17aa397f35.jpg,C:\Users\16024\Desktop\齿镜\calculus-unetpp\data\processed\masks\train\59cd4e17aa397f35.png
6f4a963378dacbe6,train,1,6f4a963378dacbe6454739f5daaf3ead8de6d3e68e8d2b81b9bf91428cb1d291,caries_0_211,caries_0_211,C:\Users\16024\Desktop\齿镜\calculus-unetpp\data\processed\images\train\6f4a963378dacbe6.jpg,C:\Users\16024\Desktop\齿镜\calculus-unetpp\data\processed\masks\train\6f4a963378dacbe6.png
986462520650d0d8,train,1,986462520650d0d83c8c907c9014edc501000d0d4c6fa75bf9edcbaaae027f78,caries_0_469,caries_0_469,C:\Users\16024\Desktop\齿镜\calculus-unetpp\data\processed\images\train\986462520650d0d8.jpg,C:\Users\16024\Desktop\齿镜\calculus-unetpp\data\processed\masks\train\986462520650d0d8.png
2b6d2bb3c45d21ae,train,1,2b6d2bb3c45d21ae65d054cbfc815eca1e8fc3c14882e50eacc29f636781e3db,caries_0_6841,caries_0_6841,C:\Users\16024\Desktop\齿镜\calculus-unetpp\data\processed\images\train\2b6d2bb3c45d21ae.jpg,C:\Users\16024\Desktop\齿镜\calculus-unetpp\data\processed\masks\train\2b6d2bb3c45d21ae.png
